Player/Team,Type,GRD,PTS,REB,AST,STL,BLK,FOULS,TO,FGM,FGA,3PM,3PA,FTM,FTA,Game_ID,Team Name,Win,Season,OREB,DREB,MIN,Q1,Q2,Q3,Q4 
JuTuff,Player,B,8,2,3,7,2,5,1,3,5,2,4,0,0,9451,Silent Stars,1,4,,,,,,,
Jekhz,Player,A,15,11,9,0,0,1,1,7,8,1,1,0,0,9451,Silent Stars,1,4,,,,,,,
TOTAL,Team,B+,81,16,20,13,3,11,4,32,56,17,36,0,0,9451,Silent Stars,1,4,,,,,,,
 Precision Kill,Player,A+,64,0,6,1,0,0,1,23,29,17,22,1,1,9452,No Morals,1,4,,,,,,,
ThaGap,Player,A,27,0,4,6,0,4,0,10,14,7,8,0,0,9452,No Morals,1,4,,,,,,,
Lunatik,Player,B,5,1,4,1,0,1,0,2,3,1,2,0,0,9452,No Morals,1,4,,,,,,,
LaneTendencies,Player,B-,6,5,2,0,1,4,1,2,3,2,3,0,0,9452,No Morals,1,4,,,,,,,
Mxntay,Player,A,9,7,9,0,0,0,0,4,5,1,1,0,0,9452,No Morals,1,4,,,,,,,
TOTAL,Team,A-,111,13,25,8,1,9,2,41,54,28,36,1,1,9452,No Morals,1,4,,,,,,,
Call Your Icon,Player,A,25,0,10,0,0,0,2,9,18,7,12,0,0,9452,Team Rocket,0,4,,,,,,,
Buzz My PF,Player,A-,34,0,7,1,0,2,5,14,16,6,7,0,0,9452,Team Rocket,0,4,,,,,,,
WhatRBoards,Player,B-,11,0,1,1,0,0,1,4,5,3,4,0,0,9452,Team Rocket,0,4,,,,,,,
GuardTTV,Player,A-,11,4,4,0,0,0,0,4,6,3,3,0,0,9452,Team Rocket,0,4,,,,,,,
stayin low,Player,B+,6,10,3,0,0,0,0,3,5,0,1,0,0,9452,Team Rocket,0,4,,,,,,,
TOTAL,Team,B+,87,14,25,2,0,2,8,34,50,19,27,0,0,9452,Team Rocket,0,4,,,,,,,
 Precision Kill,Player,A-,29,0,8,1,0,0,1,11,19,7,14,0,0,9453,No Morals,1,4,,,,,,,
ThaGap,Player,A-,36,0,1,1,0,1,1,13,19,10,15,0,0,9453,No Morals,1,4,,,,,,,
Lunatik,Player,B-,10,1,3,3,0,4,0,5,6,0,0,0,0,9453,No Morals,1,4,,,,,,,
LaneTendencies,Player,A-,16,6,2,4,2,2,0,7,9,2,3,0,0,9453,No Morals,1,4,,,,,,,
Mxntay,Player,A-,4,16,11,0,0,1,2,2,3,0,0,0,0,9453,No Morals,1,4,,,,,,,
TOTAL,Team,B+,95,23,25,9,2,8,4,38,56,19,32,0,0,9453,No Morals,1,4,,,,,,,
Call Your Icon,Player,A-,29,3,6,1,0,1,4,9,16,6,11,5,5,9453,Team Rocket,0,4,,,,,,,
Buzz My PF,Player,B,15,0,3,1,0,0,2,5,12,3,7,2,2,9453,Team Rocket,0,4,,,,,,,
WhatRBoards,Player,C,7,1,1,0,0,1,0,3,4,1,2,0,0,9453,Team Rocket,0,4,,,,,,,
LE Magiic,Player,B-,9,3,2,1,0,0,1,4,5,1,1,0,0,9453,Team Rocket,0,4,,,,,,,
GuardTTV,Player,B,5,8,3,1,0,0,3,2,7,0,3,1,2,9453,Team Rocket,0,4,,,,,,,
TOTAL,Team,B,65,15,15,4,0,2,10,23,44,11,24,8,9,9453,Team Rocket,0,4,,,,,,,
Its81Shotz,Player,A-,31,1,8,0,0,2,2,10,16,7,9,4,5,299,Lincoln,1,5,,,,,,,
IlHerz,Player,B,6,0,3,0,0,1,2,3,7,0,2,0,0,299,Lincoln,1,5,,,,,,,
SpamReset,Player,B-,10,0,0,4,0,3,0,5,6,0,1,0,0,299,Lincoln,1,5,,,,,,,
timmaaaay_ttv,Player,C,3,1,2,2,0,3,1,1,3,1,3,0,0,299,Lincoln,1,5,,,,,,,
Jakorian Bennett,Player,A-,22,11,2,0,0,0,0,10,15,2,5,0,0,299,Lincoln,1,5,,,,,,,
TOTAL,Team,B,72,13,15,6,0,9,6,29,47,10,20,4,5,299,Lincoln,1,5,,,,,,,
 Precision Kill,Player,A+,25,1,16,0,0,0,3,8,13,5,10,4,4,299,No Morals,1,5,,,,,,,
ThaGap,Player,A-,24,0,1,1,0,0,1,9,14,3,6,3,3,299,No Morals,1,5,,,,,,,
Lunatik,Player,C+,6,0,0,0,0,0,3,3,6,0,2,0,0,299,No Morals,1,5,,,,,,,
Void aka LeThanos,Player,B+,10,6,4,4,1,3,1,4,5,2,3,0,0,299,No Morals,1,5,,,,,,,
34🐶,Player,A-,12,10,1,0,0,0,1,6,7,0,0,0,0,299,No Morals,1,5,,,,,,,
TOTAL,Team,B+,77,17,24,5,1,6,6,30,45,10,21,7,7,299,No Morals,1,5,,,,,,,
Trifecta,Player,A,23,1,10,0,0,1,1,10,17,5,8,0,0,501,Krashout,0,5,,,,,,,
MyOllies,Player,A-,26,1,0,1,0,2,0,9,10,8,9,0,0,501,Krashout,0,5,,,,,,,
Crunch tuff,Player,C+,0,0,0,1,0,3,0,0,2,0,0,0,0,501,Krashout,0,5,,,,,,,
JerryRiced,Player,B,5,1,3,2,0,3,0,2,3,1,2,0,0,501,Krashout,0,5,,,,,,,
II WHEEL II,Player,A-,14,6,4,0,0,0,1,6,10,2,4,0,0,501,Krashout,0,5,,,,,,,
TOTAL,Team,,68,9,17,4,0,9,2,27,42,14,23,0,0,501,Krashout,0,5,,,,,,,
 Precision Kill,Player,A,21,0,9,0,0,0,2,8,14,5,8,0,0,501,No Morals,1,5,,,,,,,
ThaGap,Player,A,25,0,3,1,0,1,0,9,11,6,7,1,1,501,No Morals,1,5,,,,,,,
Lunatik,Player,B,11,0,1,0,0,0,0,4,6,3,5,0,0,501,No Morals,1,5,,,,,,,
Void aka LeThanos,Player,B-,8,3,3,0,3,3,1,3,4,2,2,0,0,501,No Morals,1,5,,,,,,,
34🐶,Player,B+,12,13,3,0,0,1,1,6,7,0,0,0,0,501,No Morals,1,5,,,,,,,
TOTAL,Team,,77,16,19,1,3,5,4,30,42,16,22,1,1,501,No Morals,1,5,,,,,,,
Trifecta,Player,A+,31,0,10,2,0,0,1,12,20,7,14,0,0,502,Krashout,0,5,,,,,,,
MyOllies,Player,B,11,1,2,1,0,1,1,4,8,3,7,0,0,502,Krashout,0,5,,,,,,,
Crunch tuff,Player,B,2,0,2,1,0,0,0,1,2,0,1,0,0,502,Krashout,0,5,,,,,,,
JerryRiced,Player,B,15,0,1,2,0,4,2,5,6,5,5,0,0,502,Krashout,0,5,,,,,,,
II WHEEL II,Player,A,21,8,7,0,1,1,1,9,13,1,3,2,2,502,Krashout,0,5,,,,,,,
TOTAL,Team,,80,9,22,6,1,6,5,31,49,16,30,2,2,502,Krashout,0,5,,,,,,,
 Precision Kill,Player,A+,26,0,16,0,0,0,1,9,11,8,10,0,0,502,No Morals,1,5,,,,,,,
ThaGap,Player,A,41,0,2,0,0,0,2,15,17,11,12,0,0,502,No Morals,1,5,,,,,,,
Lunatik,Player,C,7,1,1,0,0,5,0,3,3,1,1,0,0,502,No Morals,1,5,,,,,,,
Void aka LeThanos,Player,B-,12,2,1,4,1,2,1,4,7,4,6,0,0,502,No Morals,1,5,,,,,,,
34🐶,Player,A-,15,13,4,0,0,0,3,7,9,0,0,1,1,502,No Morals,1,5,,,,,,,
TOTAL,Team,,101,16,24,4,1,7,7,38,47,24,29,1,1,502,No Morals,1,5,,,,,,,
Trifecta,Player,A,22,0,11,2,0,2,1,7,12,6,10,2,2,503,Krashout,1,5,,,,,,,
nen,Player,A,36,2,3,1,0,0,1,14,18,8,11,0,0,503,Krashout,1,5,,,,,,,
Crunch tuff,Player,C,6,0,1,2,1,4,0,3,4,0,1,0,0,503,Krashout,1,5,,,,,,,
Fr Fella,Player,B+,11,1,4,3,0,1,1,4,7,3,6,0,0,503,Krashout,1,5,,,,,,,
II WHEEL II,Player,A,24,11,5,1,0,1,0,10,12,4,6,0,0,503,Krashout,1,5,,,,,,,
TOTAL,Team,,99,14,24,9,1,8,3,38,53,21,34,2,2,503,Krashout,1,5,,,,,,,
Its81Shotz,Player,B,34,3,9,0,0,0,8,14,17,4,5,2,2,503,Lincoln,0,5,,,,,,,
HateFxdes,Player,B,12,0,3,1,0,1,0,4,7,2,2,2,2,503,Lincoln,0,5,,,,,,,
Gulleyx,Player,C+,5,0,1,0,0,2,1,2,6,1,5,0,0,503,Lincoln,0,5,,,,,,,
timmaaay_ttv,Player,B,17,2,0,1,0,2,0,6,7,5,6,0,0,503,Lincoln,0,5,,,,,,,
Jakorian Bennett,Player,A,8,8,9,0,0,0,1,4,5,0,1,0,0,503,Lincoln,0,5,,,,,,,
TOTAL,Team,,76,13,22,2,0,5,10,30,42,12,19,4,4,503,Lincoln,0,5,,,,,,,
llMarrll,Player,A,19,0,15,0,0,1,5,7,13,4,8,1,2,505,Shiesty U,0,5,,,,,,,
ISO864xRAW,Player,A-,24,0,2,1,0,0,3,10,14,4,7,0,0,505,Shiesty U,0,5,,,,,,,
BluHawk92,Player,A-,25,1,0,1,1,1,0,10,15,5,9,0,0,505,Shiesty U,0,5,,,,,,,
RipXChucky,Player,B-,0,5,2,0,1,1,0,0,2,0,1,0,0,505,Shiesty U,0,5,,,,,,,
KingsolomnR,Player,B+,9,10,1,0,0,1,1,4,6,1,3,0,0,505,Shiesty U,0,5,,,,,,,
TOTAL,Team,,77,16,20,2,2,4,9,31,50,14,28,1,2,505,Shiesty U,0,5,,,,,,,
lllKay,Player,A-,24,2,13,0,0,0,2,9,16,6,11,0,0,505,Silent Stars,1,5,,,,,,,
pZayy,Player,A+,42,0,3,0,0,1,0,15,20,12,17,0,0,505,Silent Stars,1,5,,,,,,,
chris,Player,B+,12,0,2,4,0,2,0,4,6,4,4,0,0,505,Silent Stars,1,5,,,,,,,
JuTuff,Player,A-,12,5,2,3,2,2,0,5,7,2,4,0,0,505,Silent Stars,1,5,,,,,,,
Jekhz,Player,A,14,11,7,1,0,0,2,7,9,0,0,0,0,505,Silent Stars,1,5,,,,,,,
TOTAL,Team,,104,18,27,8,2,5,4,40,58,24,36,0,0,505,Silent Stars,1,5,,,,,,,
llMarrll,Player,C+,10,1,10,0,0,0,8,4,6,2,3,0,0,506,Shiesty U,0,5,,,,,,,
ISO864xRAW,Player,A-,19,1,4,1,0,1,2,7,14,4,6,1,2,506,Shiesty U,0,5,,,,,,,
BluHawk92,Player,B,15,0,0,2,0,1,1,6,9,3,6,0,0,506,Shiesty U,0,5,,,,,,,
RipXChucky,Player,B,12,3,3,2,1,4,0,4,5,4,5,0,0,506,Shiesty U,0,5,,,,,,,
KingsolomnR,Player,B-,12,10,2,0,1,0,2,5,10,2,4,0,0,506,Shiesty U,0,5,,,,,,,
TOTAL,Team,,68,15,19,5,2,6,13,26,44,15,24,1,2,506,Shiesty U,0,5,,,,,,,
lllKay,Player,A-,16,1,6,0,0,0,2,6,13,3,7,1,1,506,Silent Stars,1,5,,,,,,,
pZayy,Player,A-,31,1,4,5,0,0,0,12,21,7,13,0,0,506,Silent Stars,1,5,,,,,,,
chris,Player,B+,14,1,2,2,0,2,0,6,9,2,3,0,0,506,Silent Stars,1,5,,,,,,,
JuTuff,Player,A-,14,8,6,4,0,1,2,5,9,4,7,0,0,506,Silent Stars,1,5,,,,,,,
Jekhz,Player,A-,12,16,5,0,0,0,2,6,10,0,3,0,0,506,Silent Stars,1,5,,,,,,,
TOTAL,Team,,87,27,23,11,0,3,6,35,62,16,33,1,1,506,Silent Stars,1,5,,,,,,,
MyOllies,Player,A-,6,1,13,0,0,2,2,2,8,2,6,0,0,507,Krashout,0,5,,,,,,,
nen,Player,A-,29,0,4,1,0,4,1,12,16,5,8,0,0,507,Krashout,0,5,,,,,,,
Crunch tuff,Player,B-,6,0,0,0,0,2,1,2,3,2,3,0,0,507,Krashout,0,5,,,,,,,
Fr Fella,Player,B,9,3,2,0,1,2,0,4,6,1,2,0,0,507,Krashout,0,5,,,,,,,
II WHEEL II,Player,A-,19,9,5,0,0,0,3,8,9,3,4,0,0,507,Krashout,0,5,,,,,,,
TOTAL,Team,,69,13,24,1,1,10,7,28,42,13,23,0,0,507,Krashout,0,5,,,,,,,
lllKay,Player,A,37,2,4,1,0,0,0,13,17,10,11,1,1,507,Silent Stars,1,5,,,,,,,
pZayy,Player,A,18,0,9,2,0,0,1,7,13,4,7,0,0,507,Silent Stars,1,5,,,,,,,
chris,Player,B,5,0,0,2,0,2,0,2,3,1,2,0,0,507,Silent Stars,1,5,,,,,,,
Donkelly,Player,B-,8,2,1,1,0,0,0,3,8,2,6,0,0,507,Silent Stars,1,5,,,,,,,
Jekhz,Player,A,17,12,7,0,0,0,0,8,9,0,1,1,2,507,Silent Stars,1,5,,,,,,,
TOTAL,Team,,85,16,21,6,0,2,1,33,50,17,27,2,3,507,Silent Stars,1,5,,,,,,,
MyOllies,Player,B,13,0,6,1,0,3,5,5,8,3,4,0,0,508,Krashout,0,5,,,,,,,
nen,Player,B,27,0,2,1,0,4,1,10,17,7,11,0,0,508,Krashout,0,5,,,,,,,
Crunch tuff,Player,C+,4,1,0,2,0,0,0,2,5,0,1,0,0,508,Krashout,0,5,,,,,,,
Fr Fella,Player,B-,2,5,6,0,0,0,1,1,5,0,0,0,0,508,Krashout,0,5,,,,,,,
II WHEEL II,Player,B+,21,9,2,1,0,2,2,7,9,3,4,4,4,508,Krashout,0,5,,,,,,,
TOTAL,Team,,67,15,16,5,0,9,9,25,44,13,20,4,4,508,Krashout,0,5,,,,,,,
lllKay,Player,A-,17,1,11,0,0,2,3,6,8,4,5,1,2,508,Silent Stars,1,5,,,,,,,
pZayy,Player,B,25,0,3,2,0,0,2,9,17,7,14,0,0,508,Silent Stars,1,5,,,,,,,
chris,Player,B-,5,1,2,4,0,2,0,2,5,1,4,0,0,508,Silent Stars,1,5,,,,,,,
Donkelly,Player,B-,15,2,1,2,3,2,0,6,8,3,5,0,0,508,Silent Stars,1,5,,,,,,,
Jekhz,Player,B,18,12,5,0,0,1,3,9,10,0,0,0,0,508,Silent Stars,1,5,,,,,,,
TOTAL,Team,,80,16,22,8,3,7,8,32,48,15,28,1,2,508,Silent Stars,1,5,,,,,,,
 Precision Kill,Player,A,20,1,11,1,0,1,4,9,14,2,5,0,0,509,No Morals,1,5,,,,,,,
BOXICK,Player,A-,22,0,3,1,1,0,1,8,10,4,6,2,2,509,No Morals,1,5,,,,,,,
K-O-B-E-2-K-🧊,Player,C,8,0,1,1,0,5,1,3,6,2,5,0,0,509,No Morals,1,5,,,,,,,
WooGang,Player,B-,7,5,2,1,1,1,0,3,3,1,1,0,0,509,No Morals,1,5,,,,,,,
GLOXTRU,Player,A,23,11,5,0,0,0,2,9,10,4,4,1,1,509,No Morals,1,5,,,,,,,
TOTAL,Team,,80,17,22,4,2,7,8,32,43,13,21,3,3,509,No Morals,1,5,,,,,,,
IIMarrII,Player,A,28,0,10,0,0,0,2,10,15,6,7,2,2,509,Shiesty U,0,5,,,,,,,
ISO864xRAW,Player,B-,12,1,4,1,0,2,0,5,8,2,2,0,0,509,Shiesty U,0,5,,,,,,,
BluHawk92,Player,C,9,1,2,2,0,5,2,4,7,1,4,0,0,509,Shiesty U,0,5,,,,,,,
RipXChucky,Player,B+,8,4,1,2,0,0,0,3,5,2,3,0,0,509,Shiesty U,0,5,,,,,,,
KingsolomnR,Player,B+,14,3,0,1,0,2,0,7,10,0,2,0,1,509,Shiesty U,0,5,,,,,,,
TOTAL,Team,,71,9,17,6,0,9,4,29,45,11,18,2,3,509,Shiesty U,0,5,,,,,,,
 Precision Kill,Player,A,35,3,11,1,0,0,2,12,20,9,16,2,2,510,No Morals,1,5,,,,,,,
BOXICK,Player,B+,26,0,2,2,0,3,0,10,13,6,8,0,0,510,No Morals,1,5,,,,,,,
K-O-B-E-2-K-🧊,Player,B-,10,1,1,2,0,4,0,4,7,1,3,1,1,510,No Morals,1,5,,,,,,,
WooGang,Player,B,6,3,0,2,1,2,0,2,2,2,2,0,0,510,No Morals,1,5,,,,,,,
GLOXTRU,Player,A,20,10,11,0,0,0,0,9,11,2,4,0,0,510,No Morals,1,5,,,,,,,
TOTAL,Team,,97,17,25,7,1,9,2,37,53,20,33,3,3,510,No Morals,1,5,,,,,,,
IIMarrII,Player,B+,28,0,9,1,0,1,6,8,16,4,10,8,9,510,Shiesty U,0,5,,,,,,,
ISO864xRAW,Player,B+,18,0,0,0,0,0,1,7,11,4,6,0,0,510,Shiesty U,0,5,,,,,,,
BluHawk92,Player,B+,14,1,2,1,0,1,0,5,9,3,5,1,1,510,Shiesty U,0,5,,,,,,,
RipXChucky,Player,B-,6,2,1,0,0,1,0,2,6,2,5,0,0,510,Shiesty U,0,5,,,,,,,
KingsolomnR,Player,B+,6,14,4,0,0,3,1,3,4,0,0,0,0,510,Shiesty U,0,5,,,,,,,
TOTAL,Team,,72,17,16,2,0,6,8,25,46,13,26,9,10,510,Shiesty U,0,5,,,,,,,
4KJayW,Player,A-,34,0,7,2,0,1,3,12,15,10,11,0,0,511,THE COALITION,1,5,,,,,,,
Laatin—,Player,B+,12,0,3,0,0,2,0,5,11,2,7,0,0,511,THE COALITION,1,5,,,,,,,
DonJulioTv,Player,C+,7,0,1,0,0,1,1,2,5,2,4,1,2,511,THE COALITION,1,5,,,,,,,
Grudge ETC,Player,A,25,1,6,2,0,4,0,8,12,7,8,2,2,511,THE COALITION,1,5,,,,,,,
CatchingBlessing,Player,A-,4,11,3,1,0,0,0,2,2,0,0,0,0,511,THE COALITION,1,5,,,,,,,
TOTAL,Team,,82,12,20,5,0,8,4,29,45,21,30,3,4,511,THE COALITION,1,5,,,,,,,
Its81Shotz,Player,A,32,0,12,0,0,3,2,13,15,5,6,1,2,511,Lincoln,0,5,,,,,,,
IIHerz,Player,A-,20,0,4,0,0,1,2,7,8,6,6,0,0,511,Lincoln,0,5,,,,,,,
SpamReset,Player,B-,7,0,0,2,1,2,1,3,4,1,2,0,0,511,Lincoln,0,5,,,,,,,
timmaaay_ttv,Player,C+,6,0,0,2,1,3,0,2,3,2,3,0,0,511,Lincoln,0,5,,,,,,,
Jakorian Bennett,Player,B,8,7,2,0,1,2,1,4,4,0,0,0,0,511,Lincoln,0,5,,,,,,,
TOTAL,Team,,73,7,18,4,3,11,6,29,34,14,17,1,2,511,Lincoln,0,5,,,,,,,
ImClem4Real,Player,A,29,0,6,1,0,2,1,11,16,6,9,1,1,512,Flourish,0,5,,,,,,,
xzDOPExz,Player,B+,9,1,5,1,1,1,0,3,7,3,3,0,0,512,Flourish,0,5,,,,,,,
TGF4021,Player,B+,13,3,5,2,0,3,1,6,12,1,3,0,1,512,Flourish,0,5,,,,,,,
M1keytheGEM40,Player,B+,11,3,1,0,0,0,0,4,9,3,6,0,0,512,Flourish,0,5,,,,,,,
JMDHeisman,Player,A,15,9,11,1,0,0,0,7,10,1,1,0,0,512,Flourish,0,5,,,,,,,
TOTAL,Team,,77,16,28,5,1,6,2,31,54,14,22,1,2,512,Flourish,0,5,,,,,,,
Its81Shotz,Player,A+,40,2,10,1,0,1,3,15,16,9,9,1,1,512,Lincoln,1,5,,,,,,,
IIHerz,Player,A,10,1,7,0,0,0,0,4,10,2,7,0,0,512,Lincoln,1,5,,,,,,,
SpamReset,Player,B,10,0,0,0,2,1,0,4,5,2,3,0,0,512,Lincoln,1,5,,,,,,,
timmaaay_ttv,Player,B,12,5,2,0,1,2,1,5,5,2,2,0,0,512,Lincoln,1,5,,,,,,,
Jakorian Bennett,Player,B+,13,9,1,1,0,0,2,6,8,1,1,0,0,512,Lincoln,1,5,,,,,,,
TOTAL,Team,,85,17,20,2,3,4,6,34,44,16,22,1,1,512,Lincoln,1,5,,,,,,,
 Precision Kill,Player,A,25,1,16,1,0,1,0,8,18,4,10,5,5,514,No Morals,1,5,,,,,,,
ThaGap,Player,A-,24,0,3,0,0,2,1,10,15,3,6,1,1,514,No Morals,1,5,,,,,,,
K-O-B-E-2-K-🧊,Player,B,10,0,0,2,0,4,0,4,6,2,4,0,0,514,No Morals,1,5,,,,,,,
Void aka LeThanos,Player,C+,5,5,2,2,0,4,0,2,5,1,4,0,0,514,No Morals,1,5,,,,,,,
34🐶,Player,B+,18,12,1,0,1,0,2,9,10,0,0,0,1,514,No Morals,1,5,,,,,,,
TOTAL,Team,,82,18,22,5,1,11,3,33,54,10,24,6,7,514,No Morals,1,5,,,,,,,
IHOLLOWI,Player,A-,32,0,8,0,0,1,2,11,15,7,10,3,3,514,United 5,0,5,,,,,,,
Exactly_,Player,B+,12,0,3,1,0,2,1,5,9,0,2,2,2,514,United 5,0,5,,,,,,,
TrustKoob,Player,B,15,0,0,0,1,4,1,6,9,3,4,0,0,514,United 5,0,5,,,,,,,
NYCSanj,Player,B+,12,2,3,1,0,3,1,5,7,2,3,0,0,514,United 5,0,5,,,,,,,
JimmersBurner,Player,B+,10,14,5,0,0,3,0,5,7,0,2,0,0,514,United 5,0,5,,,,,,,
TOTAL,Team,,81,16,19,2,1,13,5,32,47,12,21,5,5,514,United 5,0,5,,,,,,,
 Precision Kill,Player,A+,41,1,10,0,0,0,0,15,19,10,13,1,1,515,No Morals,1,5,,,,,,,
ThaGap,Player,A-,23,1,2,4,0,0,0,10,15,3,7,0,0,515,No Morals,1,5,,,,,,,
K-O-B-E-2-K-🧊,Player,B,10,2,1,3,0,3,1,5,6,0,1,0,0,515,No Morals,1,5,,,,,,,
Void aka LeThanos,Player,B+,8,5,1,6,1,1,1,3,5,2,4,0,0,515,No Morals,1,5,,,,,,,
34🐶,Player,A-,11,9,4,0,0,0,1,5,8,1,1,0,0,515,No Morals,1,5,,,,,,,
TOTAL,Team,,93,18,18,13,1,4,3,38,53,16,26,1,1,515,No Morals,1,5,,,,,,,
IHOLLOWI,Player,A-,17,0,10,0,0,1,5,7,11,3,5,0,0,515,United 5,0,5,,,,,,,
Exactly_,Player,B,9,0,0,0,0,0,1,4,5,1,1,0,0,515,United 5,0,5,,,,,,,
TrustKoob,Player,C-,14,0,2,0,0,3,5,5,8,4,6,0,1,515,United 5,0,5,,,,,,,
NYCSanj,Player,B+,13,1,2,2,0,0,0,5,8,3,5,0,0,515,United 5,0,5,,,,,,,
JimmersBurner,Player,B+,12,11,5,0,0,0,2,5,9,2,4,0,0,515,United 5,0,5,,,,,,,
TOTAL,Team,,65,12,19,2,0,4,13,26,41,13,21,0,1,515,United 5,0,5,,,,,,,
ImClem4Real,Player,B+,24,0,2,1,0,1,3,9,15,6,11,0,0,516,Flourish,0,5,,,,,,,
xzDOPExz,Player,B,17,0,1,7,0,1,2,7,15,3,9,0,0,516,Flourish,0,5,,,,,,,
TGF4021,Player,B-,15,1,3,5,0,4,4,5,8,1,1,4,4,516,Flourish,0,5,,,,,,,
M1keytheGEM40,Player,B,6,6,3,0,1,0,2,3,10,0,4,0,0,516,Flourish,0,5,,,,,,,
JMDHeisman,Player,B+,7,11,7,0,0,1,4,3,3,1,1,0,0,516,Flourish,0,5,,,,,,,
TOTAL,Team,,69,18,16,13,1,7,15,27,51,11,26,4,4,516,Flourish,0,5,,,,,,,
Its81Shotz,Player,B+,28,2,10,4,0,1,7,11,14,6,9,0,0,516,Lincoln,1,5,,,,,,,
IIHerz,Player,A,40,0,1,1,0,1,0,15,20,6,10,4,5,516,Lincoln,1,5,,,,,,,
SpamReset,Player,B,5,1,0,0,0,0,1,2,5,1,3,0,0,516,Lincoln,1,5,,,,,,,
timmaaay_ttv,Player,B-,2,2,2,5,2,0,1,1,2,0,1,0,0,516,Lincoln,1,5,,,,,,,
Jakorian Bennett,Player,A,10,13,10,3,0,1,5,5,6,0,1,0,0,516,Lincoln,1,5,,,,,,,
TOTAL,Team,,85,18,23,13,2,3,14,34,47,13,24,4,5,516,Lincoln,1,5,,,,,,,
4KJayW,Player,A-,22,1,8,1,0,1,5,8,9,6,7,0,0,517,THE COALITION,0,5,,,,,,,
Laatin—,Player,A-,19,0,3,2,0,4,0,7,15,3,9,2,2,517,THE COALITION,0,5,,,,,,,
DonJulioTv,Player,A-,19,0,2,3,0,1,0,7,7,5,5,0,0,517,THE COALITION,0,5,,,,,,,
Grudge ETC,Player,C+,6,1,5,1,0,2,2,3,6,0,2,0,0,517,THE COALITION,0,5,,,,,,,
CatchingBlessing,Player,A-,8,5,5,2,1,0,0,4,4,0,0,0,0,517,THE COALITION,0,5,,,,,,,
TOTAL,Team,,74,7,23,9,1,8,7,29,41,14,23,2,2,517,THE COALITION,0,5,,,,,,,
lllKay,Player,A,26,2,12,1,0,1,6,9,11,5,7,3,3,517,Silent Stars,1,5,,,,,,,
pZayy,Player,B-,4,0,3,0,0,2,2,2,4,0,1,0,0,517,Silent Stars,1,5,,,,,,,
chris,Player,B+,8,0,1,1,0,1,0,3,5,2,4,0,0,517,Silent Stars,1,5,,,,,,,
JuTuff,Player,B+,19,3,5,3,0,2,1,8,8,3,3,0,0,517,Silent Stars,1,5,,,,,,,
Jekhz,Player,A-,21,9,2,1,0,2,0,9,12,0,2,3,3,517,Silent Stars,1,5,,,,,,,
TOTAL,Team,,78,14,23,6,0,8,9,31,40,10,17,6,6,517,Silent Stars,1,5,,,,,,,
4KJayW,Player,A+,28,0,13,1,0,1,1,10,13,7,7,1,2,518,THE COALITION,1,5,,,,,,,
Laatin—,Player,B+,20,0,3,1,0,0,1,6,15,6,12,2,2,518,THE COALITION,1,5,,,,,,,
DonJulioTv,Player,C+,20,0,0,1,0,4,1,6,6,5,5,3,3,518,THE COALITION,1,5,,,,,,,
Grudge ETC,Player,B,10,1,3,1,0,2,0,3,5,2,4,2,2,518,THE COALITION,1,5,,,,,,,
JaFrmthe03,Player,B+,4,11,3,1,0,1,1,2,5,0,0,0,0,518,THE COALITION,1,5,,,,,,,
TOTAL,Team,,82,12,22,5,0,8,4,27,44,20,28,8,9,518,THE COALITION,1,5,,,,,,,
pixare,Player,A-,29,0,3,0,0,0,3,11,15,6,9,1,1,518,Miracles,0,5,,,,,,,
Plex,Player,A-,24,0,4,1,0,1,0,9,14,6,11,0,0,518,Miracles,0,5,,,,,,,
Cap,Player,C,3,0,1,0,0,3,0,1,2,1,2,0,0,518,Miracles,0,5,,,,,,,
Seth🖤,Player,B,8,3,3,1,0,3,0,3,3,2,2,0,0,518,Miracles,0,5,,,,,,,
lIDeeskiii,Player,A,16,13,6,1,0,0,3,7,8,2,2,0,0,518,Miracles,0,5,,,,,,,
TOTAL,Team,,80,16,17,3,0,7,6,31,42,17,26,1,1,518,Miracles,0,5,,,,,,,
4KJayW,Player,B-,14,0,14,0,0,2,7,6,11,2,4,0,0,519,THE COALITION,0,5,,,,,,,
Laatin—,Player,A-,25,0,1,1,0,1,1,9,13,7,11,0,0,519,THE COALITION,0,5,,,,,,,
DonJulioTv,Player,C+,17,1,2,3,0,3,0,7,9,3,4,0,0,519,THE COALITION,0,5,,,,,,,
Grudge ETC,Player,B-,16,2,0,0,0,1,2,5,7,4,5,2,2,519,THE COALITION,0,5,,,,,,,
JaFrmthe03,Player,B+,6,5,3,0,0,2,1,3,4,0,0,0,0,519,THE COALITION,0,5,,,,,,,
TOTAL,Team,,78,8,20,4,0,9,11,30,44,16,24,2,2,519,THE COALITION,0,5,,,,,,,
pixare,Player,A,24,1,8,1,0,0,3,9,12,4,7,2,2,519,Miracles,1,5,,,,,,,
Plex,Player,A,35,0,2,2,0,1,0,12,15,11,14,0,0,519,Miracles,1,5,,,,,,,
Cap,Player,A-,11,2,3,2,0,3,0,5,7,1,2,0,0,519,Miracles,1,5,,,,,,,
Seth🖤,Player,A-,6,2,4,4,1,1,0,2,2,2,2,0,0,519,Miracles,1,5,,,,,,,
lIDeeskiii,Player,A,23,9,6,1,1,1,2,9,12,2,5,3,3,519,Miracles,1,5,,,,,,,
